Number,Time,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
756289,14-07-19 14:15,72,11,70,43,12,3,6,8,14,75,22,54,33,7,1,57,41,47,15,9
756290,14-07-19 14:20,66,19,61,1,5,13,38,68,75,45,2,22,51,35,60,27,9,78,39,15
756291,14-07-19 14:25,47,36,63,14,77,78,72,16,15,38,2,50,49,65,7,54,8,46,62,29
756292,14-07-19 14:30,2,50,10,23,6,76,24,33,28,75,46,78,73,14,49,62,70,72,21,51
756293,14-07-19 14:35,77,6,80,78,23,54,13,48,72,56,75,28,15,52,50,10,25,47,21,24
756294,14-07-19 14:40,23,14,75,39,65,68,25,61,18,15,31,28,3,57,24,55,74,5,7,1
756295,14-07-19 14:45,11,70,7,22,72,63,35,20,53,71,55,10,67,64,59,5,46,33,44,25
756296,14-07-19 14:50,62,64,51,24,46,41,70,22,39,36,73,8,34,68,57,76,5,6,15,75
756297,14-07-19 14:55,78,59,36,42,76,37,50,77,44,70,47,34,65,74,64,79,40,14,58,39
756298,14-07-19 15:00,44,31,24,12,45,49,46,72,27,48,73,43,68,7,11,10,2,47,67,21
756299,14-07-19 15:05,17,27,64,4,41,31,3,57,55,58,11,67,50,6,36,49,65,18,32,8
756300,14-07-19 15:10,20,9,29,16,74,48,36,57,33,76,65,23,38,4,59,39,71,32,53,75
756301,14-07-19 15:15,14,19,49,36,29,64,52,47,43,8,61,24,77,48,53,21,38,68,18,30
756302,14-07-19 15:20,13,51,73,17,59,33,70,46,35,57,79,31,3,74,11,30,5,8,12,78
756303,14-07-19 15:25,77,49,52,10,29,46,2,7,19,22,69,33,42,21,26,54,15,74,53,47
756304,14-07-19 15:30,70,55,68,28,60,6,58,37,35,31,43,67,78,22,1,80,16,48,74,79
756305,14-07-19 15:35,2,42,79,9,41,36,32,15,43,22,58,30,16,59,62,60,28,3,8,17
756306,14-07-19 15:40,14,22,64,33,35,20,6,68,19,79,3,29,7,32,72,65,44,51,30,41
756307,14-07-19 15:45,72,55,20,53,32,33,11,68,12,70,60,48,52,17,62,67,14,57,19,24
756308,14-07-19 15:50,68,53,71,67,11,8,42,15,57,62,27,33,29,43,61,2,63,5,80,54
756309,14-07-19 15:55,50,32,48,41,75,37,49,72,21,43,78,28,26,35,16,17,42,60,52,56
756310,14-07-19 16:00,33,74,4,44,13,38,76,79,21,48,71,41,51,56,65,39,75,34,12,8
756311,14-07-19 16:05,46,32,28,78,49,35,26,63,21,31,80,19,56,29,43,64,4,2,42,30
756312,14-07-19 16:10,60,29,23,69,31,73,56,6,15,5,38,78,35,40,11,65,68,64,37,7
756313,14-07-19 16:15,24,37,43,1,75,34,78,20,40,60,5,58,71,16,28,2,69,41,76,26
756314,14-07-19 16:20,80,6,39,37,51,12,21,15,58,4,27,34,68,3,66,2,19,73,40,42
756315,14-07-19 16:25,32,79,15,31,28,24,55,65,72,21,10,34,61,41,4,62,71,56,57,37
756316,14-07-19 16:30,48,15,66,23,13,45,53,34,35,6,29,58,2,65,31,9,72,21,52,54
756317,14-07-19 16:35,3,56,69,55,71,60,1,38,12,2,47,7,9,19,28,24,11,63,70,32
756318,14-07-19 16:40,80,7,2,79,71,72,78,60,15,53,18,75,70,65,24,61,45,73,19,64
756319,14-07-19 16:45,23,31,63,43,73,58,14,27,15,72,62,60,70,16,69,66,78,22,46,65
756320,14-07-19 16:50,16,77,5,4,17,15,27,32,21,3,67,73,37,66,49,76,71,42,45,28
756321,14-07-19 16:55,79,64,74,52,73,31,47,50,61,45,68,57,65,72,29,24,53,39,4,16
756322,14-07-19 17:00,52,19,21,30,3,36,26,41,11,75,24,68,18,78,16,70,44,69,65,61
756323,14-07-19 17:05,59,31,10,30,68,54,63,64,74,67,16,33,42,46,80,7,19,58,1,40
756324,14-07-19 17:10,2,8,63,7,68,15,30,20,16,42,4,67,69,58,44,23,10,60,73,64
756325,14-07-19 17:15,46,23,74,9,72,64,51,75,63,56,57,7,59,54,77,25,50,43,58,19
756326,14-07-19 17:20,45,26,8,59,63,79,75,30,38,72,52,66,23,18,44,16,60,76,7,78
756327,14-07-19 17:25,48,62,43,55,68,8,23,31,6,29,73,5,69,57,16,17,53,77,37,66
756328,14-07-19 17:30,66,48,43,40,23,64,57,37,2,12,14,16,51,3,39,46,34,41,65,6
756329,14-07-19 17:35,42,25,38,8,13,32,62,20,71,63,48,17,66,33,18,64,43,21,30,68
756330,14-07-19 17:40,49,70,39,17,79,3,16,72,11,10,14,18,57,71,19,55,51,25,24,53
756331,14-07-19 17:45,2,43,17,21,36,9,53,62,77,51,45,6,57,69,10,67,56,38,78,28
756332,14-07-19 17:50,25,53,65,19,32,79,45,22,9,29,2,20,56,52,78,10,48,31,68,49
756333,14-07-19 17:55,42,3,62,19,8,78,58,13,61,4,80,48,27,7,59,36,10,67,6,2
756334,14-07-19 18:00,60,17,67,23,9,27,53,41,74,8,75,77,19,59,25,57,73,79,24,33
756335,14-07-19 18:05,74,35,34,10,72,13,59,30,24,33,16,44,71,64,53,12,48,25,49,50
756336,14-07-19 18:10,15,34,26,63,21,11,41,25,50,45,74,56,68,77,12,59,22,78,31,27
756337,14-07-19 18:15,78,73,51,61,79,36,54,30,76,50,24,41,12,3,39,33,34,20,43,62
756338,14-07-19 18:20,10,73,68,74,13,31,37,38,48,76,5,63,33,79,80,9,3,23,70,51
756339,14-07-19 18:25,28,67,26,7,4,63,34,74,1,46,77,71,15,20,36,41,2,19,56,80
756340,14-07-19 18:30,18,1,49,33,60,77,55,48,24,28,73,52,71,5,31,44,61,74,20,23
756341,14-07-19 18:35,17,53,28,15,24,67,2,27,51,26,34,77,60,68,62,64,71,7,63,80
756342,14-07-19 18:40,58,5,59,60,27,36,41,49,54,79,77,9,38,16,29,78,55,28,15,56
756343,14-07-19 18:45,78,54,5,15,71,56,79,12,41,39,30,6,37,18,67,50,80,40,34,14
756344,14-07-19 18:50,33,52,78,60,66,58,2,64,13,36,48,9,53,51,23,32,74,26,49,6
756345,14-07-19 18:55,7,22,76,25,70,4,59,38,17,19,46,29,42,75,21,39,71,2,33,78
756346,14-07-19 19:00,28,80,4,23,57,74,38,78,44,42,63,47,27,19,9,7,10,56,31,32
756347,14-07-19 19:05,76,46,57,80,58,2,23,18,38,37,53,1,75,70,51,74,78,17,66,55
756348,14-07-19 19:10,73,29,32,53,46,66,33,11,45,24,31,50,79,6,19,21,68,71,27,72
756349,14-07-19 19:15,33,8,40,36,74,19,58,65,31,21,63,20,25,3,11,7,80,62,56,48
756350,14-07-19 19:20,19,23,70,67,41,72,5,58,16,39,61,60,9,20,45,6,44,26,42,64
756351,14-07-19 19:25,44,71,16,17,70,56,60,37,52,6,32,57,23,76,12,21,79,3,61,27
756352,14-07-19 19:30,43,63,71,78,31,37,45,18,16,65,32,26,53,35,14,57,4,44,17,8
756353,14-07-19 19:35,31,15,38,46,3,80,40,27,53,35,30,47,62,19,74,21,13,77,29,57
756354,14-07-19 19:40,66,32,77,22,28,43,33,67,9,55,48,75,79,40,4,74,38,1,41,63
756355,14-07-19 19:45,7,54,14,2,57,69,6,29,65,31,55,73,45,16,53,24,51,38,12,5
756356,14-07-19 19:50,29,25,80,61,32,48,79,50,5,43,20,71,78,55,34,16,66,44,13,17
756357,14-07-19 19:55,76,9,78,15,16,21,44,12,24,13,79,47,17,35,2,64,42,31,43,71
756358,14-07-19 20:00,36,29,31,32,62,9,11,10,61,33,58,28,15,76,3,43,27,26,8,55
756359,14-07-19 20:05,39,41,52,38,43,19,72,51,13,1,9,54,23,40,25,62,56,69,21,74
756360,14-07-19 20:10,33,70,55,19,7,38,13,53,63,71,25,78,12,64,45,23,6,46,74,30
756361,14-07-19 20:15,51,14,56,28,27,11,63,15,35,55,38,25,32,75,13,44,80,29,17,12
756362,14-07-19 20:20,17,19,49,24,80,12,31,29,41,45,68,37,8,42,67,16,62,61,52,35
756363,14-07-19 20:25,45,2,42,63,74,19,72,56,27,60,13,31,76,80,30,51,71,12,55,3
756364,14-07-19 20:30,18,3,70,71,17,69,43,47,63,56,79,16,11,31,2,34,10,75,51,23
756365,14-07-19 20:35,79,21,73,50,14,18,22,65,67,25,47,54,48,63,9,23,61,8,77,12
756366,14-07-19 20:40,67,45,51,7,6,39,19,40,26,57,61,64,60,32,30,58,55,35,50,36
756367,14-07-19 20:45,20,44,37,59,66,73,11,48,62,1,9,43,10,4,50,25,65,15,53,75
756368,14-07-19 20:50,19,44,53,28,73,37,70,32,69,18,76,34,9,35,29,5,50,57,58,79
756369,14-07-19 20:55,63,68,70,66,40,35,34,46,54,3,4,26,59,69,25,15,21,27,13,57
756370,14-07-19 21:00,29,6,11,72,35,41,17,63,75,13,44,79,5,45,42,20,74,30,57,1
756371,14-07-19 21:05,59,52,58,32,78,39,17,57,48,21,37,38,35,10,4,43,34,54,22,14
756372,14-07-19 21:10,21,49,8,59,26,50,24,34,16,37,57,52,48,38,51,28,76,41,71,70
756373,14-07-19 21:15,18,38,6,41,63,54,15,16,59,62,17,52,5,39,27,65,64,10,78,42
756374,14-07-19 21:20,49,46,34,62,18,32,51,70,33,17,65,28,76,21,59,58,13,6,39,22
756375,14-07-19 21:25,12,55,1,11,46,67,65,42,29,18,60,4,38,25,72,10,33,32,26,23
756376,14-07-19 21:30,39,63,56,29,37,32,18,25,55,8,68,12,46,9,74,77,24,7,38,16
756377,14-07-19 21:35,58,40,18,35,63,22,27,56,51,65,36,74,61,68,59,43,41,28,57,17
756378,14-07-19 21:40,9,79,74,12,63,6,54,13,29,41,20,19,45,40,62,76,50,58,38,52
756379,14-07-19 21:45,64,46,17,57,13,21,55,73,79,16,45,47,36,38,15,78,26,29,69,66
756380,14-07-19 21:50,1,29,44,73,17,63,58,52,72,70,78,18,21,25,53,28,16,49,65,2
756381,14-07-19 21:55,65,78,1,67,57,58,80,9,51,3,53,15,24,30,50,63,68,21,43,41
756382,14-07-19 22:00,31,52,65,62,2,27,61,76,48,33,79,70,37,63,60,15,80,57,3,75
756383,14-07-19 22:05,34,46,48,63,33,3,12,37,16,43,49,78,67,6,31,7,30,68,65,28
756384,14-07-19 22:10,17,31,15,62,6,19,51,30,40,41,26,24,14,68,54,35,7,11,38,50
756385,14-07-19 22:15,38,7,37,78,52,55,48,4,61,63,46,47,40,36,9,45,49,17,67,18
756386,14-07-19 22:20,26,46,72,55,65,24,17,79,71,34,42,3,64,13,25,67,63,76,66,27
756387,14-07-19 22:25,74,44,58,28,56,60,51,11,22,8,39,1,61,71,9,48,29,4,53,18
756388,14-07-19 22:30,13,38,10,1,77,36,66,14,64,78,11,48,2,62,39,60,3,5,21,47
756389,14-07-19 22:35,64,58,74,9,16,43,4,27,76,71,25,23,52,60,2,37,3,32,21,47
756390,14-07-19 22:40,48,60,61,66,25,64,22,32,24,34,16,46,54,3,67,10,19,31,17,33
756391,14-07-19 22:45,58,69,30,47,62,59,9,13,37,7,27,75,14,6,20,57,48,1,68,28
756392,14-07-19 22:50,3,76,37,6,51,56,59,61,80,65,46,17,71,44,18,15,13,68,11,79
756393,14-07-19 22:55,73,30,20,71,19,14,38,13,12,27,45,41,15,78,56,50,22,18,7,65
756394,14-07-19 23:00,52,71,73,74,67,75,5,33,4,45,38,16,34,19,65,23,72,10,47,59
756395,14-07-19 23:05,28,67,23,41,3,57,69,17,22,8,31,10,48,11,5,58,43,79,49,55
756396,14-07-19 23:10,48,67,73,31,52,69,70,50,11,34,79,42,53,39,41,6,80,19,57,78
756397,14-07-19 23:15,74,11,49,5,78,13,71,22,4,28,65,62,79,60,2,38,19,44,6,56
756398,14-07-19 23:20,31,36,41,45,75,11,54,29,10,1,70,32,80,49,62,61,5,79,18,25
756399,14-07-19 23:25,49,2,67,55,50,56,20,43,1,30,45,44,51,21,65,77,64,41,72,48
756400,14-07-19 23:30,38,47,6,59,41,9,28,51,26,76,11,10,18,12,56,36,45,64,27,80
756401,14-07-19 23:35,68,11,63,42,25,71,13,37,24,31,75,26,77,27,46,20,2,7,38,70
756402,14-07-19 23:40,23,21,4,35,53,43,10,42,74,46,33,78,34,41,61,8,52,31,14,70
756403,14-07-19 23:45,75,33,42,43,3,8,73,77,50,27,17,29,79,74,68,62,52,38,13,41
756404,14-07-19 23:50,12,34,49,64,78,45,26,13,4,53,38,79,6,46,27,18,71,35,7,23
756405,14-07-19 23:55,19,61,4,62,56,45,46,6,35,24,21,79,65,23,74,3,26,47,67,7
756406,15-07-19 9:00,27,35,72,36,3,24,39,9,58,44,22,70,1,67,63,66,73,65,25,45
756407,15-07-19 9:05,76,57,33,64,2,32,43,28,24,49,7,80,54,73,42,59,74,35,60,12
756408,15-07-19 9:10,76,45,64,59,21,31,69,27,14,55,74,12,29,10,52,9,80,39,61,34
756409,15-07-19 9:15,22,14,66,26,54,47,15,12,79,65,36,63,27,78,37,25,28,32,31,74
756410,15-07-19 9:20,67,45,24,54,15,12,72,65,13,6,19,71,69,35,2,39,52,5,41,79
756411,15-07-19 9:25,46,61,74,30,45,57,43,29,72,54,69,13,75,23,68,52,24,35,78,60
756412,15-07-19 9:30,19,35,73,21,74,32,9,26,58,65,51,4,31,22,13,70,17,1,79,2
756413,15-07-19 9:35,38,33,62,39,41,31,36,76,70,9,23,61,35,1,64,44,54,53,32,77
756414,15-07-19 9:40,9,5,14,19,38,49,71,67,72,76,40,8,77,45,59,65,60,26,3,15
756415,15-07-19 9:45,73,11,27,6,41,30,12,22,66,25,65,4,53,57,31,20,14,32,76,62
756416,15-07-19 9:50,3,47,42,54,55,25,46,29,10,75,22,11,68,70,12,23,56,77,62,57
756417,15-07-19 9:55,76,19,4,59,39,57,27,33,2,67,7,70,42,14,52,45,26,68,37,80
756418,15-07-19 10:00,19,13,40,45,22,49,62,55,59,7,67,4,43,20,24,14,71,57,30,58
756419,15-07-19 10:05,30,8,69,19,15,65,7,66,56,79,51,54,68,3,49,60,53,34,52,78
756420,15-07-19 10:10,19,24,26,35,34,4,40,68,31,36,73,16,50,17,46,48,64,11,75,66
756421,15-07-19 10:15,44,3,17,8,1,16,67,11,14,40,54,72,23,20,69,57,58,47,32,24
756422,15-07-19 10:20,79,19,53,62,51,31,5,20,39,57,32,76,9,70,7,74,11,47,45,80
756423,15-07-19 10:25,67,21,43,70,2,9,10,51,17,62,56,22,64,23,5,38,66,3,54,35
756424,15-07-19 10:30,33,3,49,7,43,61,44,57,80,42,70,32,31,79,15,35,51,60,21,39
756425,15-07-19 10:35,54,8,48,12,68,52,55,69,21,3,66,34,36,76,7,74,16,71,17,4
756426,15-07-19 10:40,12,41,44,19,46,60,69,79,23,42,1,75,34,24,27,54,53,77,36,65
756427,15-07-19 10:45,18,32,12,56,49,11,58,2,7,59,68,4,50,80,42,44,61,75,48,15
756428,15-07-19 10:50,46,59,32,27,21,39,33,53,30,48,5,56,8,34,49,23,29,67,11,28
756429,15-07-19 10:55,7,44,41,64,42,73,59,46,72,35,10,67,45,70,53,33,75,54,23,4
756430,15-07-19 11:00,75,26,38,5,7,46,63,54,2,17,30,72,29,21,34,32,67,56,40,16
756431,15-07-19 11:05,52,32,9,67,43,72,80,4,62,28,47,14,21,57,63,41,40,73,42,78
756432,15-07-19 11:10,8,34,17,57,65,5,63,77,74,31,3,36,12,2,66,18,78,28,16,27
756433,15-07-19 11:15,50,66,18,40,76,4,11,10,25,29,20,30,28,58,38,62,48,32,69,2
756434,15-07-19 11:20,67,10,38,69,53,14,76,25,24,16,77,19,5,50,41,52,55,80,73,56
756435,15-07-19 11:25,66,56,14,60,7,13,5,1,49,45,19,23,67,80,64,69,77,70,10,46
756436,15-07-19 11:30,30,72,2,54,75,77,42,43,23,78,13,68,25,62,80,26,59,41,32,12
756437,15-07-19 11:35,64,77,71,42,38,79,16,72,41,59,35,53,60,55,57,5,31,6,2,14
756438,15-07-19 11:40,2,29,19,27,39,22,80,5,70,6,64,78,72,10,46,60,79,30,59,66
756439,15-07-19 11:45,41,64,73,52,19,30,80,38,39,16,35,31,57,6,27,9,13,1,65,12
756440,15-07-19 11:50,76,4,26,19,69,60,30,49,17,80,42,38,54,16,8,24,23,9,47,5
756441,15-07-19 11:55,39,1,61,55,14,49,28,46,62,26,45,22,75,73,33,47,60,24,13,79
756442,15-07-19 12:00,65,75,43,12,28,25,30,49,69,33,71,61,64,23,45,39,44,66,77,14
756443,15-07-19 12:05,17,32,6,48,38,14,79,73,36,59,33,77,60,28,24,78,76,23,39,19
756444,15-07-19 12:10,15,49,43,5,4,54,46,63,32,66,11,18,33,8,58,73,39,2,38,76
756445,15-07-19 12:15,20,36,14,79,17,52,44,41,50,68,78,61,6,69,56,71,76,1,48,33
756446,15-07-19 12:20,34,9,5,28,35,72,3,10,39,29,13,61,67,53,21,73,43,46,57,76
756447,15-07-19 12:25,48,17,15,69,16,34,75,11,71,29,45,63,39,67,18,22,27,56,70,30
756448,15-07-19 12:30,80,73,4,43,24,63,70,26,36,57,13,65,60,17,77,18,55,59,58,21
756449,15-07-19 12:35,43,76,47,33,6,25,20,22,41,30,75,74,58,78,56,19,51,46,4,54
756450,15-07-19 12:40,1,33,45,55,51,78,69,24,19,36,21,63,49,47,7,38,41,12,61,22
756451,15-07-19 12:45,78,31,41,16,59,26,60,72,13,19,77,51,67,75,43,62,64,34,70,48
756452,15-07-19 12:50,62,4,28,69,49,29,13,20,77,47,70,37,35,52,31,9,17,40,67,6
756453,15-07-19 12:55,11,58,6,42,80,61,59,77,32,25,28,10,14,72,74,30,36,57,15,16
756454,15-07-19 13:00,20,45,22,31,78,70,71,19,15,57,50,74,52,4,54,39,34,61,59,76
756455,15-07-19 13:05,19,31,17,14,44,53,70,41,37,7,58,51,76,64,50,46,40,20,67,5
756456,15-07-19 13:10,10,52,47,44,21,35,5,56,19,65,53,29,61,76,68,40,18,15,38,24
756457,15-07-19 13:15,70,9,12,73,48,29,4,31,30,25,20,11,27,8,34,71,22,21,18,78
756458,15-07-19 13:20,39,28,12,77,33,48,72,19,73,66,25,51,80,26,64,18,3,58,38,20
756459,15-07-19 13:25,17,79,5,12,38,2,70,42,63,10,52,80,75,56,77,54,40,73,59,14
756460,15-07-19 13:30,69,25,36,56,27,12,41,73,67,26,80,29,75,77,59,18,60,63,45,61
756461,15-07-19 13:35,1,42,49,62,60,17,48,53,23,74,8,6,45,37,35,41,56,10,68,75
756462,15-07-19 13:40,54,66,44,64,24,58,76,28,18,65,9,74,75,31,71,63,53,60,2,13
756463,15-07-19 13:45,21,40,22,66,68,62,76,59,27,35,80,57,60,46,29,67,71,79,63,7
756464,15-07-19 13:50,26,57,14,56,28,51,30,59,32,63,53,35,12,25,24,21,20,4,65,52
756465,15-07-19 13:55,60,76,1,17,19,51,31,78,16,3,22,47,71,70,48,49,63,58,21,20
756466,15-07-19 14:00,43,25,8,41,27,24,78,62,73,28,10,63,35,57,17,30,13,53,50,54
756467,15-07-19 14:05,59,55,53,58,28,47,22,42,49,32,37,56,54,71,8,61,43,52,45,65
756468,15-07-19 14:10,15,53,24,63,79,22,76,78,50,9,71,38,66,75,18,7,25,14,4,39
756469,15-07-19 14:15,24,25,36,68,27,78,61,19,69,17,75,15,77,42,74,44,4,33,53,16
756470,15-07-19 14:20,78,72,50,37,16,21,68,39,24,19,47,14,7,33,71,79,64,36,20,56
756471,15-07-19 14:25,4,7,61,74,71,35,42,40,12,14,29,25,27,8,49,69,18,1,76,51
756472,15-07-19 14:30,16,5,43,34,73,74,20,53,10,77,67,66,18,62,19,12,15,29,76,51
756473,15-07-19 14:35,75,52,66,38,33,11,46,62,23,9,6,25,45,57,17,48,24,30,44,71
756474,15-07-19 14:40,43,61,10,56,46,29,16,20,79,40,3,9,11,32,65,25,30,28,57,6
756475,15-07-19 14:45,38,67,6,24,59,26,18,58,39,11,25,3,74,46,55,80,7,8,9,52
756476,15-07-19 14:50,49,52,66,72,24,20,78,50,18,63,65,53,5,11,21,28,29,23,31,48
756477,15-07-19 14:55,26,66,72,6,12,32,34,45,21,48,71,16,67,47,63,56,33,19,27,68
756478,15-07-19 15:00,34,62,58,39,56,59,75,52,26,6,45,25,60,40,67,31,66,23,51,76
756479,15-07-19 15:05,20,10,51,19,47,70,76,66,32,11,58,44,29,73,67,36,59,9,18,75
756480,15-07-19 15:10,74,46,37,4,26,76,24,31,15,5,3,73,60,23,10,36,49,47,71,19
756481,15-07-19 15:15,76,21,74,55,49,47,6,72,33,75,39,63,8,2,24,51,59,1,11,40
756482,15-07-19 15:20,64,60,68,49,14,30,48,58,59,36,13,35,78,32,6,16,80,74,28,5
756483,15-07-19 15:25,14,62,48,10,58,26,54,13,19,71,79,4,50,25,7,61,34,73,42,40
756484,15-07-19 15:30,71,19,53,50,24,37,57,79,22,64,44,77,28,65,59,36,70,54,15,43
756485,15-07-19 15:35,25,11,3,27,37,60,38,5,41,78,19,49,9,71,63,36,80,46,20,1
756486,15-07-19 15:40,46,15,5,33,77,9,20,4,78,34,43,13,38,47,49,2,55,10,44,51
756487,15-07-19 15:45,5,15,78,38,7,72,57,66,55,11,35,34,76,32,29,6,79,36,67,71
756488,15-07-19 15:50,78,68,65,7,22,47,24,44,72,15,19,42,26,28,48,31,45,35,37,27
756489,15-07-19 15:55,5,27,20,65,74,34,40,64,3,35,56,42,37,75,2,1,14,18,49,4
756490,15-07-19 16:00,17,45,35,16,3,43,70,5,26,39,7,33,78,80,57,29,10,58,72,18
756491,15-07-19 16:05,65,74,69,3,56,21,58,37,60,45,35,28,43,30,11,19,67,12,61,7
756492,15-07-19 16:10,75,73,6,74,12,68,44,47,57,18,22,35,55,53,67,60,11,20,17,2
756493,15-07-19 16:15,40,76,73,33,42,49,79,52,63,39,58,30,4,9,28,80,27,72,3,29
756494,15-07-19 16:20,49,67,80,21,29,12,8,42,24,18,71,2,76,50,9,23,36,41,40,70
756495,15-07-19 16:25,36,31,11,79,2,58,76,54,63,41,73,61,64,40,8,62,52,60,42,66
756496,15-07-19 16:30,25,19,70,33,5,58,36,3,74,49,57,52,54,6,78,40,56,30,47,42
756497,15-07-19 16:35,20,66,46,63,16,50,60,11,58,61,59,28,37,17,14,49,54,27,43,69
756498,15-07-19 16:40,50,67,58,74,73,42,66,10,7,64,18,1,69,40,43,4,16,5,14,57
756499,15-07-19 16:45,4,48,73,57,66,15,23,27,80,52,10,42,53,47,79,36,5,59,30,40
756500,15-07-19 16:50,33,2,69,40,18,13,66,64,56,21,71,38,53,74,37,63,23,7,1,29
756501,15-07-19 16:55,68,60,38,31,61,26,52,79,49,64,30,19,66,37,24,59,9,69,51,36
756502,15-07-19 17:00,77,67,40,62,71,52,21,65,56,54,28,69,31,6,75,16,37,43,2,53
756503,15-07-19 17:05,7,20,24,44,80,27,9,52,53,16,26,14,60,38,77,70,1,4,30,23
756504,15-07-19 17:10,44,1,40,35,75,36,18,70,34,37,74,49,6,22,62,10,53,78,25,39
756505,15-07-19 17:15,42,14,48,63,11,66,4,75,65,46,78,60,50,58,41,37,56,12,73,22
756506,15-07-19 17:20,49,35,80,67,7,14,13,11,52,62,54,65,21,63,59,6,27,20,34,3
756507,15-07-19 17:25,30,46,57,20,41,3,64,71,62,66,70,59,25,14,60,29,15,48,45,17
756508,15-07-19 17:30,13,2,69,9,14,56,62,68,15,61,44,49,8,79,71,37,45,1,40,42
756509,15-07-19 17:35,25,76,67,51,56,41,48,79,10,28,54,65,46,70,64,63,24,5,7,69
756510,15-07-19 17:40,54,70,53,35,37,29,22,67,46,60,2,9,13,78,1,8,6,61,15,27
756511,15-07-19 17:45,12,21,10,24,71,64,69,50,37,62,19,31,75,40,32,22,29,56,39,58
756512,15-07-19 17:50,49,39,6,67,28,31,61,3,32,2,30,34,44,62,51,1,33,7,23,53
756513,15-07-19 17:55,73,17,79,77,26,47,56,20,80,54,53,9,7,66,8,45,52,23,33,42
756514,15-07-19 18:00,49,36,64,1,27,75,11,61,67,43,53,12,13,39,58,4,10,46,2,59
756515,15-07-19 18:05,61,24,34,31,3,75,72,23,78,39,17,28,54,33,35,13,19,29,51,10
756516,15-07-19 18:10,72,60,62,12,20,59,15,21,68,26,43,9,19,35,33,8,67,70,56,54
756517,15-07-19 18:15,39,62,45,69,24,28,58,37,8,54,79,41,73,80,65,75,29,25,66,10
756518,15-07-19 18:20,71,64,52,63,78,59,50,24,55,43,77,1,3,12,35,29,47,33,32,22
756519,15-07-19 18:25,11,15,23,51,78,57,35,53,70,72,79,58,36,22,74,3,64,18,65,5
756520,15-07-19 18:30,70,67,20,72,79,64,58,16,19,44,76,50,41,45,68,31,14,15,73,36
756521,15-07-19 18:35,34,75,20,70,6,14,49,29,33,10,80,40,60,15,44,51,16,62,64,76
756522,15-07-19 18:40,61,66,50,16,23,73,54,18,39,77,75,72,9,24,79,53,35,43,60,5
756523,15-07-19 18:45,8,19,78,45,61,53,70,55,43,21,13,73,24,26,33,62,49,12,74,41
756524,15-07-19 18:50,50,61,21,22,56,74,38,33,80,10,66,45,11,42,28,37,68,57,48,63
756525,15-07-19 18:55,49,37,26,48,77,60,10,72,45,3,21,56,59,6,43,78,17,35,47,16
756526,15-07-19 19:00,12,60,9,5,70,28,38,51,20,43,61,56,77,37,78,67,26,72,24,66
756527,15-07-19 19:05,74,18,12,56,41,33,47,80,43,55,54,57,29,7,39,66,14,48,16,70
756528,15-07-19 19:10,39,41,52,72,8,7,51,19,24,80,30,27,6,79,66,43,50,35,25,42
756529,15-07-19 19:15,75,8,57,64,49,77,58,21,30,68,80,73,66,48,70,18,32,61,34,45
756530,15-07-19 19:20,11,65,21,7,58,71,74,33,53,10,40,20,9,79,49,36,22,62,24,12
756531,15-07-19 19:25,80,20,46,13,60,6,19,33,77,74,5,56,52,36,11,21,30,50,37,47
756532,15-07-19 19:30,46,73,75,29,5,80,37,79,55,19,54,57,35,40,52,28,70,20,21,8
756533,15-07-19 19:35,51,71,38,30,3,4,76,40,80,62,20,66,32,63,35,33,1,11,9,75
756534,15-07-19 19:40,1,24,42,74,49,10,58,71,48,59,55,56,25,7,57,41,8,31,30,64
756535,15-07-19 19:45,37,33,58,50,36,31,10,42,53,79,1,48,41,70,66,35,67,40,55,28
756536,15-07-19 19:50,5,67,51,12,28,65,9,24,13,22,56,60,18,52,31,75,77,16,30,59
756537,15-07-19 19:55,7,77,79,47,55,41,72,13,24,40,51,43,17,46,80,26,5,42,36,50
756538,15-07-19 20:00,13,70,65,28,6,71,3,24,61,21,80,22,7,51,38,42,49,77,1,23
756539,15-07-19 20:05,75,71,50,5,54,14,21,74,40,45,1,61,24,12,43,73,34,68,80,18
756540,15-07-19 20:10,41,73,20,31,56,8,49,30,13,77,64,37,6,80,27,65,61,45,15,28
756541,15-07-19 20:15,17,72,18,74,75,21,40,78,49,38,27,48,25,26,50,62,56,14,59,9
756542,15-07-19 20:20,48,50,59,3,73,57,61,32,1,63,36,8,27,37,14,56,66,38,35,47
756543,15-07-19 20:25,53,52,66,73,17,5,16,33,9,34,26,11,70,49,59,3,13,67,4,15
756544,15-07-19 20:30,15,19,72,76,37,7,66,45,80,57,32,77,48,74,60,4,73,56,39,42
756545,15-07-19 20:35,15,13,21,58,27,56,16,65,47,52,40,2,35,34,39,1,74,50,76,20
756546,15-07-19 20:40,53,33,10,12,38,44,73,24,23,29,79,2,42,11,62,78,76,55,58,7
756547,15-07-19 20:45,37,2,35,36,54,52,69,74,70,66,34,30,16,15,43,72,61,27,28,78
756548,15-07-19 20:50,61,77,37,55,59,60,73,31,54,45,33,44,13,8,27,78,79,9,71,2
756549,15-07-19 20:55,47,68,74,6,51,71,1,10,46,20,41,3,35,44,31,67,36,40,4,73
756550,15-07-19 21:00,48,33,35,6,61,25,21,8,69,50,59,36,1,18,20,53,78,65,14,31
756551,15-07-19 21:05,23,10,70,20,50,21,77,7,14,72,19,43,28,56,79,38,44,27,73,75
